"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,1.0,1.0,0.9999058246612549,"'Fox and Friends' host says Gov. Rick Scott's approval numbers are up",1.0,0.9999058246612549,"'Fox and Friends' host says Gov. Rick Scott's approval numbers are up","Skipped"
0.0,39.0,0.0,0.00010526180267333984,"Foxx <font color = red>blames</font> recession on Democratic Congressional takeover",1.0,0.9999520778656006,"Foxx <font color = green>chides</font> recession on Democratic Congressional takeover","Successful"
0.0,148.0,0.0,6.830692291259766e-05,"Neil deGrasse Tyson addressed gender inequality on Twitter by <font color = red>tearing</font> apart a <font color = red>joke</font> about women in science.",1.0,0.9888833165168762,"Neil deGrasse Tyson addressed gender inequality on Twitter by <font color = green>raking</font> apart a <font color = green>rag</font> about women in science.","Successful"
0.0,2051.0,0.0,8.988380432128906e-05,"Ted Cruz <font color = red>says</font> jurisdictions with strictest <font color = red>gun</font> <font color = red>laws</font> have <font color = red>highest</font> <font color = red>rates</font> of <font color = red>crime</font> and <font color = red>murder</font>",1.0,0.999971866607666,"Ted Cruz <font color = green>articulates</font> jurisdictions with strictest <font color = green>piece</font> <font color = green>paradoxes</font> have <font color = green>tallest</font> <font color = green>places</font> of <font color = green>offence</font> and <font color = green>massacre</font>","Successful"
0.0,3626.0,0.0,2.1338462829589844e-05,"No, Senegal will not be the <font color = red>first</font> sub-Saharan <font color = red>country</font> with <font color = red>electric</font> <font color = red>trains</font> | Africa Check",0.0,3.075599670410156e-05,"No, Senegal will not be the <font color = red>through</font> sub-Saharan <font color = red>countryside</font> with <font color = red>electronic</font> <font color = red>coaches</font> | Africa Check","Failed"
0.0,43.0,0.0,3.0279159545898438e-05,"Paris-vaccination <font color = red>conspiracy</font> missing facts",1.0,0.9967144727706909,"Paris-vaccination <font color = green>finesse</font> missing facts","Successful"
0.0,993.0,0.0,5.042552947998047e-05,"California's <font color = red>governor</font> is under <font color = red>investigation</font> for <font color = red>possible</font> corruption.",1.0,0.8522863388061523,"California's <font color = green>chairman</font> is under <font color = green>reconnaissance</font> for <font color = green>down</font> corruption.","Successful"
0.0,6045.0,0.0,0.00027638673782348633,"<font color = red>Group</font> <font color = red>claims</font> repeal of prevailing <font color = red>wage</font> would <font color = red>open</font> an '<font color = red>illegal</font> <font color = red>worker</font> loophole'",1.0,0.9999775886535645,"<font color = green>Side</font> <font color = green>needs</font> repeal of prevailing <font color = green>reward</font> would <font color = green>cut</font> an '<font color = green>lawless</font> <font color = green>engineer</font> loophole'","Successful"
0.0,1.0,1.0,0.9997573494911194,"Kissinger: Drones have killed more civilians than the bombing of Cambodia in the Vietnam War",1.0,0.9997573494911194,"Kissinger: Drones have killed more civilians than the bombing of Cambodia in the Vietnam War","Skipped"
0.0,4109.0,0.0,2.6345252990722656e-05,"Chester Bennington and Chris Cornell were murdered because they were about to <font color = red>reveal</font> a <font color = red>ring</font> of pedophiles.",0.0,0.00017970800399780273,"Chester Bennington and Chris Cornell were murdered because they were about to <font color = red>voice</font> a <font color = red>buzz</font> of pedophiles.","Failed"
